DCID,Permit Number,Program Name,Facility Type,Program Type,Street Address,Borough,Zip Code,Phone Number,Child Age Range,Children Allowed in Care,Administer Medication,BIN,BBL,Community Board,Council District,Census Tract,NTA Code,Latitude,Longitude
DC20432,,CENTRAL UTA BOYS DIVISION,SBCC,PRESCHOOL,762 WYTHE AVENUE,BROOKLYN,11249,(718) 797-2888,3 YEARS - 5 YEARS,NO DATA,No,3335307.0,3022160019.0,301.0,33.0,53700.0,BK72,40.700696283543,-73.960411483349
DC10659,1448.0,"BROOKLYN COLLEGE CHILD CARE SERVICES, INC.",GCC,PRESCHOOL,2900 BEDFORD AVENUE,BROOKLYN,11210,(718) 951-5431,2 YEARS - 5 YEARS,55,No,3347326.0,3075520100.0,314.0,45.0,77200.0,BK42,40.631752761677,-73.952666980781
DC22781,63837.0,NEW YORK KIDS CLUB,GCC,PRESCHOOL,219 EAST 67TH STREET,MANHATTAN,10065,(212) 991-6700,2 YEARS - 5 YEARS,19,No,1087271.0,1014227501.0,108.0,5.0,11800.0,MN31,40.766296797809,-73.962300112893
DC41705,106092.0,"DAISY'S FUN HOUSE II, INC.",GCC,PRESCHOOL,7805 20 AVENUE,BROOKLYN,11214,(347) 525-1425,2 YEARS - 5 YEARS,20,No,3162297.0,3062630009.0,311.0,43.0,27200.0,BK28,40.60901084855,-73.993650512085
DC2610,,COLUMBIA GRAMMAR & PRESCHOOL,SBCC,PRESCHOOL,26 WEST 94 STREET,MANHATTAN,10025,(212) 749-6200,3 YEARS - 5 YEARS,62,No,1031649.0,1012070040.0,107.0,6.0,17700.0,MN12,40.79069345776,-73.966442955779
DC1624,1137.0,BRONXDALE NURSERY AND KINDERGARTEN,GCC,PRESCHOOL,1065 -1085 BEACH AVENUE,BRONX,10472,(718) 991-8315,2 YEARS - 5 YEARS,60,No,2092801.0,2037250001.0,209.0,18.0,4400.0,BX55,40.827031129719,-73.86525374278
DC14339,7192.0,EVERBROOK ACADEMY,GCC,PRESCHOOL,225 EAST 38 STREET,MANHATTAN,10016,(212) 682-8080,2 YEARS - 5 YEARS,58,No,1087340.0,1009190014.0,106.0,4.0,7800.0,MN20,40.747764936993,-73.975137221768
DC16721,7703.0,ARCADIA CHILDREN'S  DAYCARE,GCC,PRESCHOOL,2195 GRAND CONCOURSE,BRONX,10453,(718) 561-8062,2 YEARS - 5 YEARS,62,No,2013759.0,2031620029.0,205.0,14.0,23704.0,BX40,40.855714341269,-73.901019445694
DC14448,5174.0,UNITED TALMUDICAL ACADEMY OF BORO PARK,GCC,PRESCHOOL,5411 FORT HAMILTON PARKWAY,BROOKLYN,11219,(718) 438-7822,2 YEARS - 5 YEARS,34,No,3139246.0,3056740006.0,312.0,44.0,21800.0,BK88,40.635857749142,-74.001390749943
DC42718,106490.0,D'JESUS DAYCARE CENTER INC.,GCC,INFANT TODDLER,2468 TIEBOUT AVENUE,BRONX,10458,(917) 471-9721,0 YEARS - 2 YEARS,10,No,2128708.0,2030230004.0,205.0,15.0,39902.0,BX05,40.861313857639,-73.89512546418
DC19549,,ST FRANCIS OF ASSISI SCHOOL,SBCC,PRESCHOOL,4300 BAYCHESTER AVENUE,BRONX,10466,(718) 994-4650,3 YEARS - 5 YEARS,NO DATA,No,2070412.0,2050570001.0,212.0,12.0,44400.0,BX62,40.897070720281,-73.845238325723
DC32836,87977.0,"RENANIM MANHATTAN, INC.",GCC,INFANT TODDLER,2975 INDEPENDENCE AVENUE,BRONX,10463,(718) 601-1300,0 YEARS - 2 YEARS,18,No,2100381.0,2057500390.0,208.0,11.0,30100.0,BX29,40.882886325753,-73.917343136408
DC10752,7318.0,CLARKSON EARLY CHILDHOOD  CENTER,GCC,PRESCHOOL,8801 GLENWOOD ROAD,BROOKLYN,11236,(718) 649-3488,2 YEARS - 5 YEARS,33,No,3224067.0,3079930008.0,318.0,46.0,96400.0,BK50,40.640839088285,-73.909017942863
DC2481,,ST. FRANCIS OF ASSISI CATHOLIC ACADEMY IN ASTORIA,SBCC,PRESCHOOL,21-18 46 STREET,QUEENS,11105,(718) 726-9405,3 YEARS - 5 YEARS,63,No,4439584.0,4007710022.0,401.0,22.0,12100.0,QN72,40.771716674222,-73.900772906226
DC41202,106289.0,LIFETIME CHANGES BEHAVIOR SERVICES LLC,GCC,PRESCHOOL,683 HENDERSON AVENUE,STATEN ISLAND,10310,(929) 256-0231,2 YEARS - 5 YEARS,10,No,5158648.0,5001730029.0,501.0,49.0,10500.0,SI35,40.637262746637,-74.115250962734
DC24833,49777.0,BRIGHT HORIZONS AT KENT AVENUE,GCC,INFANT TODDLER,175 KENT AVENUE,BROOKLYN,11249,(718) 302-1113,0 YEARS - 2 YEARS,46,No,3396768.0,3023497501.0,301.0,33.0,55500.0,BK73,40.718296890852,-73.963871358562
DC20719,8334.0,HAPPY I  DAYCARE,GCC,PRESCHOOL,48-06 212 STREET,QUEENS,11364,(718) 229-1910,2 YEARS - 5 YEARS,26,No,4158309.0,4073700001.0,411.0,23.0,143500.0,QN46,40.754899080152,-73.768883502474
DC35820,104673.0,CHANGING TOMORROW CHILD CARE LLC,GCC,PRESCHOOL,257 GOLD STREET,BROOKLYN,11201,(205) 701-3333,2 YEARS - 5 YEARS,92,No,3396901.0,3001220013.0,302.0,33.0,1500.0,BK38,40.696864688542,-73.983147812674
DC41328,105773.0,Babove Worldwide Institute,GCC,PRESCHOOL,83-38 CORNISH AVENUE,QUEENS,11373,(718) 859-3311,2 YEARS - 5 YEARS,93,No,4038665.0,4015447501.0,404.0,25.0,48500.0,QN50,40.74039095487,-73.880838607983
DC15217,7641.0,XCEL TINY TOTS,GCC,PRESCHOOL,113-15 SPRINGFIELD BLVD.,QUEENS,11429,(718) 740-2557,NO DATA,88,No,4242036.0,4112310081.0,413.0,27.0,58200.0,QN34,40.703763279469,-73.740366741914
DC40332,105904.0,Vivvi 5 LLC,GCC,INFANT TODDLER,55 PROSPECT STREET,BROOKLYN,11201,(646) 343-9889,0 YEARS - 2 YEARS,46,No,3000161.0,3000630001.0,302.0,33.0,2100.0,BK38,40.700697048095,-73.988462816594
DC2262,7200.0,LITTLE MEADOWS EARLY CHILDHOOD CENTER INC.,GCC,PRESCHOOL,67-25 188 STREET,QUEENS,11365,(718) 454-6460,NO DATA,112,No,4444035.0,4071170003.0,408.0,23.0,134700.0,QN41,40.736341961732,-73.784540210756
DC40563,105862.0,COLLECTIVE PLAY GROUND INC.,GCC,PRESCHOOL,511 ROGERS AVENUE,BROOKLYN,11225,(917) 791-5358,2 YEARS - 5 YEARS,14,No,3115227.0,3050360006.0,309.0,40.0,80000.0,BK60,40.659598873952,-73.953414855222
DC42974,106213.0,BEANSTALK CHILD CARE ACADEMY,GCC,INFANT TODDLER,1465 WEBSTER AVENUE,BRONX,10456,(718) 681-3040,0 YEARS - 2 YEARS,40,No,2113137.0,2028870100.0,204.0,16.0,17702.0,BX14,40.838127691727,-73.906220928274
DC43351,,"UNCOMMON SCHOOLS, INC.",SBCC,PRESCHOOL,225 PATCHEN AVENUE,BROOKLYN,11233,(973) 493-2207,3 YEARS - 5 YEARS,NO DATA,No,3046965.0,3016730001.0,303.0,41.0,38300.0,BK35,40.683540989222,-73.926186856283
DC2027,7455.0,1199 S E I U / EMPLOYER CHILD CARE CORPORATION,GCC,PRESCHOOL,2500 CRESTON AVENUE,BRONX,10468,(718) 562-2915,2 YEARS - 5 YEARS,119,No,2013811.0,2031670001.0,207.0,14.0,40100.0,BX05,40.862946767385,-73.897946453553
DC2170,7148.0,FRANCIS GRACE DAY CARE INC,GCC,PRESCHOOL,130-20 MERRICK BOULEVARD,QUEENS,11434,(718) 977-1853,2 YEARS - 5 YEARS,23,No,4270448.0,4125410058.0,412.0,27.0,33401.0,QN08,40.68007409651,-73.762365687193
DC36069,105241.0,"LITTLE STARS THREE, INC",GCC,INFANT TODDLER,1420 BURKE AVENUE,BRONX,10469,(347) 947-3171,0 YEARS - 2 YEARS,16,No,2061698.0,2047600001.0,212.0,12.0,35800.0,BX03,40.872323222825,-73.846503839845
DC31751,94199.0,NESHAMA 1 INC.,GCC,PRESCHOOL,723 AVENUE Z,BROOKLYN,11223,(347) 267-0263,2 YEARS - 5 YEARS,22,No,3195856.0,3072180077.0,313.0,47.0,37401.0,BK26,40.586534821917,-73.967438815267
DC58,1879.0,The Shield Institute,GCC,PRESCHOOL,1800 ANDREWS AVENUE,BRONX,10453,(718) 299-7600,2 YEARS - 5 YEARS,190,No,2009094.0,2028790107.0,205.0,14.0,24501.0,BX36,40.851282507886,-73.915951142291
DC14371,7441.0,SUNSHINE DEVELOPMENTAL SCHOOL,GCC,PRESCHOOL,91-10 146 STREET,QUEENS,11435,(718) 468-9000,2 YEARS - 5 YEARS,216,No,4213884.0,4099860061.0,412.0,24.0,21200.0,QN61,40.700867647565,-73.808840597847
DC32649,106116.0,"LITTLE MUNCHKINS PLAYGROUP 56, INC.",GCC,INFANT TODDLER,104 ROSS STREET,BROOKLYN,11249,(718) 437-7261,0 YEARS - 2 YEARS,50,No,3388503.0,3021860001.0,301.0,33.0,53900.0,BK72,40.704558779784,-73.962198107355
DC426,4892.0,CONGREGATION BETH ELOHIM  ECC,GCC,PRESCHOOL,274 GARFIELD PLACE,BROOKLYN,11215,(718) 499-6208,2 YEARS - 5 YEARS,272,No,3025118.0,3010750005.0,306.0,39.0,16500.0,BK37,40.670897445714,-73.974156620128
DC42867,,International School of Brooklyn,SBCC,PRESCHOOL,477 COURT STREET,BROOKLYN,11231,(718) 369-3023,3 YEARS - 5 YEARS,NO DATA,No,3391215.0,3004720001.0,306.0,39.0,7700.0,BK33,40.676650657925,-73.99863363244
DC31973,,Arista Preparatory School,SBCC,PRESCHOOL,221 KINGSTON AVENUE,BROOKLYN,11213,(718) 756-5550,2 YEARS - 5 YEARS,NO DATA,No,3330683.0,3012440006.0,308.0,36.0,34300.0,BK61,40.672444665298,-73.941898803482
DC41003,106185.0,Petits Poussins Dumbo LLC,GCC,PRESCHOOL,85 JAY STREET,BROOKLYN,11201,(917) 825-8763,2 YEARS - 5 YEARS,42,No,3425091.0,3000547501.0,302.0,33.0,2100.0,BK38,40.702055519284,-73.986702574115
DC36174,,TOMER DVORA,SBCC,PRESCHOOL,869 45 STREET,BROOKLYN,11220,(718) 853-9400,3 YEARS - 5 YEARS,NO DATA,No,3406988.0,3007427501.0,312.0,38.0,9400.0,BK34,40.643068297693,-73.999391030473
DC20922,,ST. HELEN CATHOLIC ACADEMY,SBCC,PRESCHOOL,83-09 157TH AVE,QUEENS,11414,(718) 835-4155,3 YEARS - 5 YEARS,NO DATA,No,4457754.0,4139470025.0,410.0,32.0,89200.0,QN57,40.661206251681,-73.849856975139
DC41439,105806.0,"B'above Worldwide Institute, Inc.",GCC,PRESCHOOL,859 60 STREET,BROOKLYN,11220,(718) 686-8335,2 YEARS - 5 YEARS,200,No,3140879.0,3057077501.0,312.0,43.0,10400.0,BK34,40.634743074622,-74.008308330566
DC34040,104091.0,DISCOVERY PITSTOP INC.,GCC,PRESCHOOL,467 VANDERBILT  AVENUE,BROOKLYN,11238,(718) 636-0601,2 YEARS - 5 YEARS,24,No,3393776.0,3019607502.0,302.0,35.0,19900.0,BK69,40.684567652831,-73.968115491655
DC25116,72872.0,LEADING KIDS PRESCHOOL,GCC,PRESCHOOL,44-07 LITTLE NECK PARKWAY,QUEENS,11363,(718) 229-6400,2 YEARS - 5 YEARS,28,No,4169414.0,4081320058.0,411.0,19.0,147900.0,QN45,40.770710200827,-73.736357224095
DC19803,8241.0,APPLETREE DAY CARE CENTER INC,GCC,PRESCHOOL,73-20 BELL BLVD.,QUEENS,11364,(718) 264-1588,2 YEARS - 5 YEARS,69,No,4439704.0,4077320050.0,411.0,23.0,129103.0,QN42,40.740310260655,-73.758057794506
DC24613,26441.0,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC",GCC,PRESCHOOL,510-516 WEST 145TH STREET,MANHATTAN,10031,(646) 449-0814,2 YEARS - 5 YEARS,204,No,1061917.0,1020760041.0,109.0,7.0,22900.0,MN04,40.825473597279,-73.948214386135
DC32967,104836.0,KIDDIES WORLD INC,GCC,PRESCHOOL,143-04 FARMERS   BOULEVARD,QUEENS,11434,(718) 276-4545,2 YEARS - 5 YEARS,32,Yes,4271175.0,4125930107.0,412.0,28.0,33000.0,QN02,40.669502559089,-73.765701904315
DC34023,103758.0,"AIM HIGH LEADERSHIP CENTER, THREE INC",GCC,PRESCHOOL,133-13 ROCKAWAY BOULEVARD,QUEENS,11420,(718) 848-2202,2 YEARS - 5 YEARS,20,No,4253202.0,4117000005.0,410.0,28.0,18000.0,QN55,40.674664810192,-73.804892708213
DC39978,105413.0,CREATIVE LEARNING ACADEMY,GCC,PRESCHOOL,196 ALBANY AVE,BROOKLYN,11213,(917) 495-1411,2 YEARS - 5 YEARS,120,No,3031082.0,3012300044.0,308.0,36.0,34300.0,BK61,40.67387317405,-73.938973865509
DC15609,7665.0,KESHET LEARNING CENTER,GCC,INFANT TODDLER,1612 QUENTIN ROAD,BROOKLYN,11229,(718) 376-6958,0 YEARS - 2 YEARS,18,No,3183039.0,3067990005.0,315.0,48.0,55200.0,BK44,40.608374407033,-73.957034220705
DC26008,54541.0,BEDFORD STUYVESANT EARLY CHILDHOOD DEVELOPMENT CENTER INC.,GCC,PRESCHOOL,813 HANCOCK STREET,BROOKLYN,11233,(718) 455-5565,2 YEARS - 5 YEARS,215,No,3039902.0,3014870074.0,303.0,41.0,37500.0,BK35,40.685682337166,-73.922665330204
DC32793,,ALBANIAN ISLAMIC AND CULTURAL PRESCHOOL,SBCC,PRESCHOOL,307 VICTORY BLVD.,STATEN ISLAND,10301,(718) 816-6161,3 YEARS - 5 YEARS,NO DATA,No,5150536.0,5001090006.0,501.0,49.0,7500.0,SI35,40.634648611016,-74.085129655898
DC34361,,EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL,SBCC,PRESCHOOL,2050 2 AVENUE,MANHATTAN,10029,(212) 348-2518,3 YEARS - 5 YEARS,NO DATA,No,1089693.0,1016770001.0,111.0,8.0,17000.0,MN33,40.790255875886,-73.942687601894
DC1923,7506.0,SUNSHINE NURSERY & DAY CARE CENTER - INFANT,GCC,INFANT TODDLER,576 GATES AVENUE,BROOKLYN,11221,(718) 452-9740,0 YEARS - 2 YEARS,28,No,3051225.0,3018150036.0,303.0,36.0,26500.0,BK75,40.687124063949,-73.942567452267
DC36844,104544.0,"BRIGHT START PT & PTA, PLLC",GCC,PRESCHOOL,2571 E 17TH ST,BROOKLYN,11235,(929) 371-2131,2 YEARS - 5 YEARS,22,No,3204046.0,3074380049.0,315.0,48.0,59200.0,BK17,40.588700742696,-73.952542795108
DC18906,7959.0,SUNSHINE LEARNING CENTER,GCC,INFANT TODDLER,2929 WEST 31ST STREET,BROOKLYN,11224,(718) 996-7200,0 YEARS - 2 YEARS,28,No,3321834.0,3070500001.0,313.0,47.0,34200.0,BK21,40.575041505081,-73.997455022051
DC12260,7431.0,STAR  AMERICA  M  INC.,GCC,PRESCHOOL,780 8TH AVENUE,MANHATTAN,10036,(212) 262-4896,2 YEARS - 5 YEARS,60,No,1086225.0,1010190001.0,105.0,3.0,12500.0,MN17,40.760735909332,-73.987217838913
DC14909,7575.0,"NORTHSIDE CENTER FOR CHILD DEVELOPMENT, INC.",GCC,PRESCHOOL,302-306 EAST 111TH STREET,MANHATTAN,10029,(646) 351-1300,2 YEARS - 5 YEARS,116,No,1081364.0,1000000000.0,111.0,8.0,18000.0,MN34,40.793682604793,-73.93982428938
DC39861,105467.0,"CAMBRIA ACADEMY GIFTED, LTD.",GCC,PRESCHOOL,233-02 LINDEN BLVD.,QUEENS,11411,(718) 341-1991,2 YEARS - 5 YEARS,23,No,4274717.0,4127500001.0,413.0,27.0,62200.0,QN33,40.69103674508,-73.728953050212
DC37653,104749.0,GUIDEPOST FIC B LLC.,GCC,INFANT TODDLER,190 S 1ST ST,BROOKLYN,11211,(347) 464-0490,0 YEARS - 2 YEARS,34,No,3426659.0,3024077503.0,301.0,34.0,52300.0,BK73,40.713140807707,-73.959650164414
DC37503,104979.0,FOSTER AVENUE DAYCARE LLC,GCC,PRESCHOOL,631 EAST   18 STREET,BROOKLYN,11226,(718) 210-3233,2 YEARS - 5 YEARS,118,No,3425746.0,3052187501.0,314.0,45.0,51800.0,BK42,40.635609386364,-73.960443038594
DC40326,105883.0,YA YA PRESCHOOL,GCC,PRESCHOOL,291 BROADWAY,MANHATTAN,10007,(646) 360-3477,2 YEARS - 5 YEARS,73,No,1001649.0,1001500038.0,101.0,1.0,3300.0,MN24,40.714816580157,-74.005778836563
DC19560,,ST. CHARLES SCHOOL,SBCC,PRESCHOOL,200 PENN AVENUE,STATEN ISLAND,10306,(718) 987-0200,2 YEARS - 5 YEARS,NO DATA,No,5107626.0,5042790001.0,503.0,50.0,13201.0,SI25,40.563831522469,-74.117833900627
DC677,5936.0,"YELED V'YALDA EARLY CHILDHOOD CENTER,INC.",GCC,PRESCHOOL,407 EAST 53 STREET,BROOKLYN,11203,(718) 485-0020,2 YEARS - 5 YEARS,114,No,3103944.0,3047250063.0,317.0,45.0,86200.0,BK96,40.649662848211,-73.927219110667
DC25355,51457.0,"CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMUNITY CENTER, INC.",GCC,PRESCHOOL,3880 SEDGWICK AVENUE,BRONX,10463,(718) 543-0231,2 YEARS - 5 YEARS,117,No,2086830.0,2032460076.0,208.0,11.0,40900.0,BX28,40.882990692566,-73.894006209915
DC39958,,YESHIVA TIFERES  YISROEL,SBCC,PRESCHOOL,1271 EAST   35 STREET,BROOKLYN,11210,(718) 258-9006,3 YEARS - 5 YEARS,NO DATA,No,3208963.0,3076350011.0,318.0,45.0,73800.0,BK58,40.623224973683,-73.941354640059
DC21940,23637.0,THE WILLIAMSBURG NURSERY SCHOOL,GCC,PRESCHOOL,54 SOUTH 2ND STREET,BROOKLYN,11249,(718) 782-4181,2 YEARS - 5 YEARS,62,No,3063062.0,3024150019.0,301.0,33.0,55100.0,BK73,40.714430078486,-73.965716763816
DC1109,,YESHIVAT SHAARE TORAH PRESCHOOL,SBCC,PRESCHOOL,222 OCEAN PARKWAY,BROOKLYN,11218,(718) 437-6101,3 YEARS - 5 YEARS,NO DATA,No,3124704.0,3053380060.0,312.0,39.0,49400.0,BK41,40.644382917227,-73.974325480736
DC32930,102157.0,"NEW MILESTONE ,INC.",GCC,PRESCHOOL,27-18 HOYT AVENUE SOUTH,QUEENS,11102,(718) 545-5580,2 YEARS - 5 YEARS,90,No,4540506.0,4008397503.0,401.0,22.0,6900.0,QN71,40.771923749115,-73.919900341693
DC14175,7415.0,4 ANGELS DAY CARE INC.,GCC,PRESCHOOL,245 SIMONSON AVENUE,STATEN ISLAND,10303,(718) 876-6498,2 YEARS - 5 YEARS,21,No,5026928.0,5011760042.0,501.0,49.0,23900.0,SI12,40.630642867851,-74.152376126111
DC32336,74337.0,"ONE OF A KIND CHILD CARE, LLC",GCC,PRESCHOOL,6318 AMBOY ROAD,STATEN ISLAND,10309,(718) 317-7070,2 YEARS - 5 YEARS,33,No,5087265.0,5077020047.0,503.0,51.0,22600.0,SI11,40.523564969324,-74.215925914698
DC21651,8281.0,"THE EAST HARLEM BLOCK NURSERY, INC.",GCC,PRESCHOOL,1299 AMSTERDAM AVENUE,MANHATTAN,10027,(212) 666-6000,2 YEARS - 5 YEARS,68,No,1084095.0,1019640001.0,109.0,7.0,20901.0,MN09,40.811912819992,-73.957317759606
DC26068,54917.0,ML DAY CARE,GCC,INFANT TODDLER,4202 12 AVENUE,BROOKLYN,11219,(718) 438-1353,0 YEARS - 2 YEARS,27,No,3135856.0,3055970041.0,312.0,44.0,22400.0,BK88,40.640183127271,-73.990346990808
DC22599,19017.0,Pusteblume International Preschool,GCC,PRESCHOOL,244 WEST 14TH STREET,MANHATTAN,10011,(212) 206-1137,2 YEARS - 5 YEARS,89,No,1011099.0,1006180010.0,102.0,3.0,7700.0,MN23,40.739094177137,-74.001006794721
DC11867,7458.0,ALL SEASONS DAY NURSERY INFANT/TODDLER,GCC,INFANT TODDLER,1701 NEREID AVENUE,BRONX,10466,(718) 324-8300,0 YEARS - 2 YEARS,18,No,2070786.0,2050720013.0,212.0,11.0,43400.0,BX62,40.8978596482,-73.852409471238
DC24975,,TALMUD TORAH TOSHBAR,SBCC,PRESCHOOL,128 FRANKLIN AVENUE,BROOKLYN,11205,(718) 230-3600,2 YEARS - 5 YEARS,NO DATA,No,3334776.0,3018980005.0,303.0,33.0,123700.0,BK75,40.695151045632,-73.958164522321
DC22218,,YESHIVA JESODE HATORAH,SBCC,PRESCHOOL,195 WILSON STREET,BROOKLYN,11211,(718) 302-7500,2 YEARS - 5 YEARS,NO DATA,No,3059927.0,3021780050.0,301.0,34.0,53500.0,BK72,40.706926795165,-73.960068726359
DC14286,2160.0,THE ACORN SCHOOL,GCC,PRESCHOOL,330 EAST 26 STREET,MANHATTAN,10010,(212) 684-0230,2 YEARS - 5 YEARS,68,No,1078835.0,1009310001.0,106.0,2.0,6600.0,MN20,40.739127750295,-73.977980413763
DC36068,104595.0,The Q StudioLab LLC,GCC,PRESCHOOL,41-20 QUEENS BOULEVARD,QUEENS,11104,(718) 786-9100,2 YEARS - 5 YEARS,63,No,4002538.0,4001920030.0,402.0,26.0,18102.0,QN31,40.74365488652,-73.92306692637
DC39098,105143.0,BRAINIAC BABIES,GCC,PRESCHOOL,2260 CROTONA AVENUE,BRONX,10457,(347) 275-5191,2 YEARS - 5 YEARS,39,No,2012816.0,2031010023.0,206.0,15.0,39300.0,BX06,40.851225751468,-73.885240787655
DC36982,,"YESHIVAT BETH HILLEL OF KRASNA, INC.",SBCC,PRESCHOOL,4315 16 AVENUE,BROOKLYN,11204,(718) 530-4130,3 YEARS - 5 YEARS,NO DATA,No,3421702.0,3053790004.0,312.0,44.0,47800.0,BK88,40.634242434869,-73.982151274988
DC37807,105223.0,"PM EVALUATION & THERAPY SERVICES, INC.",GCC,PRESCHOOL,177-30 WEXFORD TERRACE,QUEENS,11432,(347) 494-4896,2 YEARS - 5 YEARS,31,No,4617567.0,4098350033.0,408.0,24.0,46600.0,QN06,40.713093674727,-73.785982772164
DC1855,1839.0,GRACE CHURCH SCHOOL,GCC,PRESCHOOL,254 HICKS STREET,BROOKLYN,11201,(718) 624-4030,NO DATA,124,No,3329460.0,3002520028.0,302.0,33.0,301.0,BK09,40.693698409078,-73.996595825733
DC43353,106419.0,"KA of WSNY, LLC",GCC,INFANT TODDLER,7-05 152 STREET,QUEENS,11357,(718) 747-5555,0 YEARS - 2 YEARS,46,No,4610229.0,4045310035.0,407.0,19.0,98700.0,QN49,40.794782466805,-73.810404589372
DC40702,105561.0,"POLICE ATHLETIC LEAGUE, INC.",GCC,PRESCHOOL,216-22 BEACH 87TH STREET,QUEENS,11693,(646) 983-0731,2 YEARS - 5 YEARS,169,No,4303414.0,4161200006.0,414.0,32.0,94202.0,QN12,40.588037763478,-73.812207156545
DC11718,7696.0,GARDEN OF KNOWLEDGE DAY CARE & LEARNING CENTER,GCC,PRESCHOOL,1657 NOSTRAND AVENUE,BROOKLYN,11226,(718) 469-2229,2 YEARS - 5 YEARS,20,No,3110405.0,3049150046.0,317.0,45.0,82600.0,BK95,40.645722137489,-73.949017483098
DC44001,,SAINT DAVID'S SCHOOL,SBCC,PRESCHOOL,12 EAST   89 STREET,MANHATTAN,10128,(646) 731-3013,3 YEARS - 5 YEARS,NO DATA,No,1073030.0,1015000062.0,108.0,4.0,15002.0,MN40,40.783186671368,-73.958394262864
DC36087,104366.0,CHALLENGE EARLY INTERVENTION CENTER,GCC,PRESCHOOL,2707 HYLAN  BOULEVARD,STATEN ISLAND,10306,(718) 851-3300,2 YEARS - 5 YEARS,27,No,5145630.0,5042480004.0,502.0,50.0,13400.0,SI45,40.566352469249,-74.113911616509
DC25280,64158.0,"BROOKLYN TREEHOUSE PRESCHOOL, INC",GCC,PRESCHOOL,639 4TH AVENUE,BROOKLYN,11232,(718) 499-1234,2 YEARS - 5 YEARS,96,No,3397574.0,3006377501.0,307.0,38.0,14300.0,BK37,40.66370068273,-73.994636520604
DC17170,7721.0,SHARON BAPTIST HEAD START,GCC,PRESCHOOL,507-509 EAST 165TH STREET,BRONX,10456,(718) 466-1604,2 YEARS - 5 YEARS,126,No,2001278.0,2023700045.0,203.0,16.0,18500.0,BX35,40.826648052606,-73.908213673132
DC509,,SAINT BERNADETTE SCHOOL,SBCC,PRESCHOOL,1313 83 STREET,BROOKLYN,11228,(718) 236-1560,3 YEARS - 5 YEARS,NO DATA,No,3334376.0,3063030001.0,310.0,50.0,15000.0,BK30,40.615490872205,-74.011630456308
DC38523,106287.0,"LITTLE MUNCHKINS PLAYGROUP 56, INC.",GCC,PRESCHOOL,104 ROSS STREET,BROOKLYN,11211,(718) 809-5852,2 YEARS - 5 YEARS,45,No,3388503.0,3021860001.0,301.0,33.0,53900.0,BK72,40.704558779784,-73.962198107355
DC21004,8230.0,SUNFLOWER PLAYHOUSE,GCC,PRESCHOOL,787A WASHINGTON AVENUE,BROOKLYN,11238,(718) 623-2900,2 YEARS - 5 YEARS,17,No,3029550.0,3011770006.0,308.0,35.0,21500.0,BK64,40.673079178592,-73.962843288107
DC33669,103791.0,SUNSHINE LEARNING CENTER,GCC,PRESCHOOL,253 EAST 142 STREET,BRONX,10451,(718) 989-9807,2 YEARS - 5 YEARS,108,No,2127296.0,2023347501.0,201.0,8.0,5100.0,BX39,40.814808531847,-73.925144754776
DC12236,7010.0,"LITTLE ANGEL DAY CARE #3, INC.",GCC,PRESCHOOL,12 CROWN STREET,BROOKLYN,11225,(718) 469-0229,2 YEARS - 5 YEARS,56,No,3029720.0,3011907501.0,309.0,35.0,21300.0,BK63,40.667575419882,-73.961390067354
DC33961,105155.0,FUTURE SCHOLARS CENTER INC,GCC,PRESCHOOL,148 HIGHLAWN AVENUE,BROOKLYN,11223,(718) 373-2914,2 YEARS - 5 YEARS,48,No,3329213.0,3066730001.0,311.0,43.0,40800.0,BK29,40.603261806237,-73.980643478326
DC2459,,OUR LADY OF HOPE CATHOLIC ACADEMY,SBCC,PRESCHOOL,61-21 71 STREET,QUEENS,11379,(718) 458-3535,3 YEARS - 5 YEARS,NO DATA,No,4067005.0,4029280001.0,405.0,30.0,66501.0,QN21,40.720738974655,-73.886808363855
DC41614,106369.0,BROOKLYN FRIENDS,GCC,PRESCHOOL,375 PEARL STREET,BROOKLYN,11201,(718) 852-1029,2 YEARS - 5 YEARS,104,No,3000261.0,3001400106.0,302.0,33.0,1100.0,BK38,40.692860691876,-73.988154055661
DC22707,35178.0,BUMBLEBEES R US,GCC,PRESCHOOL,501 8TH STREET,BROOKLYN,11215,(718) 499-9800,2 YEARS - 5 YEARS,20,No,3259287.0,3010880041.0,306.0,39.0,15300.0,BK37,40.666531506595,-73.979064236716
DC1496,5996.0,"IMAGINE EARLY LEARNING CENTER, LLC",GCC,PRESCHOOL,423 EAST 23 STREET,MANHATTAN,10010,(212) 951-3435,2 YEARS - 5 YEARS,30,No,1081691.0,1009550005.0,106.0,4.0,6200.0,MN20,40.73648450538,-73.977786434808
DC2421,4201.0,THE EPISCOPAL SCHOOL IN THE CITY OF NEW YORK,GCC,PRESCHOOL,35 EAST 69 STREET,MANHATTAN,10021,(212) 879-9764,2 YEARS - 5 YEARS,130,No,1041308.0,1013840031.0,108.0,4.0,12200.0,MN40,40.769459890466,-73.965922991591
